match_date,tournament,tour,surface,round,player_1,player_2,winner_name,loser_name,p1_win,odds_p1,odds_p2,indoor,elo_p1,elo_p2,elo_diff,surface_elo_p1,surface_elo_p2,surface_elo_diff,ranking_gap,recent_win_rate_diff_5,surface_recent_win_rate_diff_5,recent_win_rate_diff_10,surface_recent_win_rate_diff_10,fatigue_matches_7d_diff,fatigue_long_matches_14d_diff,h2h_weighted_diff,is_atp,tournament_tier,serve_points_won_diff,return_points_won_diff,hold_pct_diff,break_pct_diff
2022-01-01,Tourney_4,WTA,Grass,R32,wta player 5,wta player 8,WTA_Player_5,WTA_Player_8,1.0,1.84,2.522,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,,,,
2022-01-04,Tourney_7,WTA,Hard,QF,wta player 13,wta player 16,WTA_Player_16,WTA_Player_13,0.0,3.091,1.622,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,,,,
2022-01-07,Tourney_8,ATP,Clay,SF,atp player 20,atp player 6,ATP_Player_20,ATP_Player_6,1.0,1.773,2.659,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-01-10,Tourney_8,WTA,Clay,R16,wta player 13,wta player 16,WTA_Player_16,WTA_Player_13,0.0,1.605,3.153,,1488.0,1512.0,-24.0,1500.0,1500.0,0.0,,-1.0,0.0,-1.0,0.0,0,0,-0.5,0,0.0,,,,
2022-01-13,Tourney_5,WTA,Clay,QF,wta player 11,wta player 20,WTA_Player_11,WTA_Player_20,1.0,1.864,2.478,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,,,,
2022-01-16,Tourney_6,ATP,Hard,F,atp player 11,atp player 14,ATP_Player_14,ATP_Player_11,0.0,2.281,1.993,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-01-19,Tourney_6,ATP,Clay,SF,atp player 10,atp player 15,ATP_Player_10,ATP_Player_15,1.0,2.245,2.022,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-01-22,Tourney_6,WTA,Grass,SF,wta player 11,wta player 19,WTA_Player_11,WTA_Player_19,1.0,1.523,3.528,,1512.0,1500.0,12.0,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,1,0,0.0,0,0.0,,,,
2022-01-25,Tourney_4,WTA,Grass,QF,wta player 15,wta player 4,WTA_Player_4,WTA_Player_15,0.0,1.763,2.683,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,,,,
2022-01-28,Tourney_6,WTA,Grass,R32,wta player 2,wta player 4,WTA_Player_4,WTA_Player_2,0.0,2.862,1.693,,1500.0,1512.0,-12.0,1500.0,1512.0,-12.0,,-0.5,-0.5,-0.5,-0.5,-1,0,0.0,0,0.0,,,,
2022-01-31,Tourney_5,WTA,Hard,R16,wta player 4,wta player 7,WTA_Player_7,WTA_Player_4,0.0,2.211,2.051,,1523.585699413623,1500.0,23.585699413622933,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,2,0,0.0,0,0.0,,,,
2022-02-03,Tourney_2,WTA,Clay,R32,wta player 15,wta player 5,WTA_Player_15,WTA_Player_5,1.0,1.431,4.15,,1488.0,1512.0,-24.0,1500.0,1500.0,0.0,,-1.0,0.0,-1.0,0.0,0,0,0.0,0,0.0,,,,
2022-02-06,Tourney_8,ATP,Clay,R16,atp player 2,atp player 20,ATP_Player_2,ATP_Player_20,1.0,1.544,3.42,,1500.0,1512.0,-12.0,1500.0,1512.0,-12.0,,-0.5,-0.5,-0.5,-0.5,-1,0,0.0,1,0.0,,,,
2022-02-09,Tourney_4,ATP,Hard,F,atp player 13,atp player 19,ATP_Player_19,ATP_Player_13,0.0,1.477,3.801,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-02-12,Tourney_2,WTA,Grass,SF,wta player 10,wta player 6,WTA_Player_6,WTA_Player_10,0.0,2.522,1.84,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,,,,
2022-02-15,Tourney_5,ATP,Clay,SF,atp player 19,atp player 3,ATP_Player_19,ATP_Player_3,1.0,1.648,3.002,,1512.0,1500.0,12.0,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,1,0,0.0,1,0.0,,,,
2022-02-18,Tourney_8,WTA,Clay,F,wta player 17,wta player 20,WTA_Player_20,WTA_Player_17,0.0,4.44,1.399,,1500.0,1488.0,12.0,1500.0,1488.0,12.0,,0.5,0.5,0.5,0.5,-1,0,0.0,0,0.0,,,,
2022-02-21,Tourney_1,ATP,Grass,R32,atp player 1,atp player 19,ATP_Player_1,ATP_Player_19,1.0,1.684,2.889,,1500.0,1523.585699413623,-23.585699413622933,1500.0,1500.0,0.0,,-0.5,0.0,-0.5,0.0,-2,0,0.0,1,0.0,,,,
2022-02-24,Tourney_5,ATP,Hard,SF,atp player 16,atp player 2,ATP_Player_2,ATP_Player_16,0.0,2.245,2.022,,1500.0,1512.414300586377,-12.414300586377067,1500.0,1500.0,0.0,,-0.5,0.0,-0.5,0.0,-1,0,0.0,1,0.0,,,,
2022-02-27,Tourney_7,ATP,Hard,F,atp player 20,atp player 3,ATP_Player_20,ATP_Player_3,1.0,1.806,2.589,,1499.585699413623,1488.414300586377,11.171398827245866,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,1,0,0.0,1,0.0,,,,
2022-03-02,Tourney_2,WTA,Grass,R32,wta player 11,wta player 3,WTA_Player_11,WTA_Player_3,1.0,1.952,2.337,,1523.585699413623,1500.0,23.585699413622933,1512.0,1500.0,12.0,,0.5,0.5,0.5,0.5,2,0,0.0,0,0.0,,,,
2022-03-05,Tourney_5,WTA,Clay,SF,wta player 15,wta player 16,WTA_Player_15,WTA_Player_16,1.0,1.622,3.091,,1500.827614673444,1523.172385326556,-22.344770653111937,1512.0,1512.0,0.0,,-0.5,0.0,-0.5,0.0,0,0,0.0,0,0.0,,,,
2022-03-08,Tourney_5,WTA,Clay,R32,wta player 18,wta player 7,WTA_Player_7,WTA_Player_18,0.0,2.522,1.84,,1500.0,1512.813372137389,-12.813372137389024,1500.0,1500.0,0.0,,-0.5,0.0,-0.5,0.0,-1,0,0.0,0,0.0,,,,
2022-03-11,Tourney_6,WTA,Grass,R32,wta player 15,wta player 8,WTA_Player_15,WTA_Player_8,1.0,3.282,1.574,,1513.598313411379,1488.0,25.598313411378967,1488.0,1488.0,0.0,,0.6666666666666666,0.0,0.6666666666666666,0.0,2,0,0.0,0,0.0,,,,
2022-03-14,Tourney_6,ATP,Hard,R16,atp player 16,atp player 4,ATP_Player_16,ATP_Player_4,1.0,4.15,1.431,,1488.4285923699842,1500.0,-11.571407630015756,1488.0,1500.0,-12.0,,-0.5,-0.5,-0.5,-0.5,1,0,0.0,1,0.0,,,,
2022-03-17,Tourney_5,ATP,Grass,F,atp player 7,atp player 8,ATP_Player_7,ATP_Player_8,1.0,1.939,2.357,,1500.0,1500.0,0.0,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-03-20,Tourney_3,ATP,Clay,SF,atp player 18,atp player 19,ATP_Player_19,ATP_Player_18,0.0,2.917,1.675,,1500.0,1510.772327276234,-10.77232727623391,1500.0,1512.0,-12.0,,-0.16666666666666663,-0.5,-0.16666666666666663,-0.5,-3,0,0.0,1,0.0,,,,
2022-03-23,Tourney_2,ATP,Hard,R16,atp player 13,atp player 14,ATP_Player_14,ATP_Player_13,0.0,2.416,1.901,,1488.0,1512.0,-24.0,1488.0,1512.0,-24.0,,-1.0,-1.0,-1.0,-1.0,0,0,0.0,1,0.0,,,,
2022-03-26,Tourney_5,WTA,Clay,R16,wta player 2,wta player 7,WTA_Player_7,WTA_Player_2,0.0,3.455,1.537,,1488.414300586377,1524.3710144777424,-35.956713891365325,1500.0,1512.0,-12.0,,-1.0,-0.5,-1.0,-0.5,-1,0,0.0,0,0.0,,,,
2022-03-29,Tourney_1,WTA,Hard,F,wta player 3,wta player 4,WTA_Player_4,WTA_Player_3,0.0,3.35,1.559,,1488.813372137389,1510.772327276234,-21.958955138844885,1500.0,1488.0,12.0,,-0.6666666666666666,0.5,-0.6666666666666666,0.5,-2,0,0.0,0,0.0,,,,
2022-04-01,Tourney_8,ATP,Hard,R16,atp player 16,atp player 6,ATP_Player_16,ATP_Player_6,1.0,1.888,2.437,,1500.8281069230293,1488.0,12.828106923029281,1500.414300586377,1500.0,0.4143005863770668,,0.5,0.0,0.5,0.0,1,0,0.0,1,0.0,,,,
2022-04-04,Tourney_5,WTA,Clay,R16,wta player 16,wta player 18,WTA_Player_16,WTA_Player_18,1.0,2.659,1.773,,1510.401686588621,1488.4423576596466,21.9593289289744,1500.0,1488.0,12.0,,0.6666666666666666,0.5,0.6666666666666666,0.5,2,0,0.0,0,0.0,,,,
2022-04-07,Tourney_4,ATP,Hard,QF,atp player 12,atp player 18,ATP_Player_12,ATP_Player_18,1.0,2.437,1.888,,1500.0,1488.3719438243181,11.628056175681877,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,-1,0,0.0,1,0.0,,,,
2022-04-10,Tourney_1,ATP,Grass,SF,atp player 14,atp player 4,ATP_Player_14,ATP_Player_4,1.0,2.263,2.007,,1523.172385326556,1487.600485446955,35.571899879601006,1500.0,1500.0,0.0,,1.0,0.0,1.0,0.0,1,0,0.0,1,0.0,,,,
2022-04-13,Tourney_2,ATP,Clay,SF,atp player 16,atp player 2,ATP_Player_2,ATP_Player_16,0.0,3.002,1.648,,1512.3852410342797,1523.9857082163928,-11.600467182113107,1500.0,1512.414300586377,-12.414300586377067,,-0.33333333333333337,-0.5,-0.33333333333333337,-0.5,1,0,-0.5,1,0.0,,,,
2022-04-16,Tourney_8,ATP,Hard,F,atp player 12,atp player 5,ATP_Player_5,ATP_Player_12,0.0,4.39,1.404,,1511.5985310548242,1500.0,11.598531054824207,1512.0,1500.0,12.0,,0.5,0.5,0.5,0.5,1,0,0.0,1,0.0,,,,
2022-04-19,Tourney_1,ATP,Clay,R16,atp player 11,atp player 2,ATP_Player_11,ATP_Player_2,1.0,2.566,1.817,,1488.0,1535.585191097266,-47.58519109726603,1500.0,1523.9857082163928,-23.985708216392823,,-1.0,-0.5,-1.0,-0.5,-2,0,0.0,1,0.0,,,,
2022-04-22,Tourney_2,ATP,Grass,SF,atp player 3,atp player 8,ATP_Player_8,ATP_Player_3,0.0,3.185,1.597,,1476.8000141155899,1488.0,-11.199985884410125,1500.0,1488.0,12.0,,0.0,0.5,0.0,0.5,1,0,0.0,1,0.0,,,,
2022-04-25,Tourney_5,ATP,Clay,R32,atp player 15,atp player 7,ATP_Player_15,ATP_Player_7,1.0,1.516,3.565,,1488.0,1512.0,-24.0,1488.0,1500.0,-12.0,,-1.0,-0.5,-1.0,-0.5,0,0,0.0,1,0.0,,,,
2022-04-28,Tourney_5,ATP,Clay,R32,atp player 13,atp player 5,ATP_Player_5,ATP_Player_13,0.0,1.484,3.76,,1476.827614673444,1512.4004503221406,-35.57283564869658,1500.0,1500.0,0.0,,-1.0,0.0,-1.0,0.0,1,0,0.0,1,0.0,,,,
2022-05-01,Tourney_5,WTA,Grass,SF,wta player 17,wta player 5,WTA_Player_17,WTA_Player_5,1.0,1.684,2.889,,1487.585699413623,1499.172385326556,-11.586685912933035,1500.0,1512.0,-12.0,,-0.5,-0.5,-0.5,-0.5,-1,0,0.0,0,0.0,,,,
2022-05-04,Tourney_1,ATP,Hard,R16,atp player 13,atp player 19,ATP_Player_19,ATP_Player_13,0.0,2.337,1.952,,1466.0519815033922,1522.4003834519158,-56.34840194852359,1476.827614673444,1512.0,-35.17238532655597,,-0.75,-1.0,-0.75,-1.0,-1,0,-0.5,1,0.0,,,,
2022-05-07,Tourney_2,ATP,Hard,SF,atp player 17,atp player 7,ATP_Player_17,ATP_Player_7,1.0,1.732,2.757,,1500.0,1499.172385326556,0.8276146734440317,1500.0,1500.0,0.0,,0.0,0.0,0.0,0.0,-2,0,0.0,1,0.0,,,,
2022-05-10,Tourney_5,WTA,Hard,F,wta player 1,wta player 2,WTA_Player_1,WTA_Player_2,1.0,1.993,2.281,,1500.0,1477.6517865907629,22.348213409237133,1500.0,1500.0,0.0,,0.5,0.0,0.5,0.0,-2,0,0.0,0,0.0,,,,
2022-05-13,Tourney_8,WTA,Clay,SF,wta player 4,wta player 8,WTA_Player_8,WTA_Player_4,0.0,2.612,1.795,,1522.0149001092316,1476.8825380690769,45.1323620401547,1500.0,1500.0,0.0,,0.75,0.0,0.75,0.0,2,0,0.0,0,0.0,,,,
2022-05-16,Tourney_4,ATP,Hard,F,atp player 20,atp player 9,ATP_Player_9,ATP_Player_20,0.0,1.37,4.758,,1511.1999858844101,1500.0,11.199985884410125,1512.0,1500.0,12.0,,0.16666666666666663,0.5,0.16666666666666663,0.5,3,0,0.0,1,0.0,,,,
2022-05-19,Tourney_8,ATP,Grass,F,atp player 1,atp player 5,ATP_Player_5,ATP_Player_1,0.0,2.022,2.245,,1512.813372137389,1523.1760834921924,-10.362711354803423,1512.0,1500.0,12.0,,0.0,0.5,0.0,0.5,-1,0,0.0,1,0.0,,,,
2022-05-22,Tourney_6,WTA,Clay,SF,wta player 16,wta player 8,WTA_Player_16,WTA_Player_8,1.0,1.404,4.39,,1521.6442465628004,1490.4326453951257,31.211601167674644,1511.585699413623,1512.0,-0.4143005863770668,,0.4166666666666667,-0.33333333333333337,0.4166666666666667,-0.33333333333333337,1,0,0.0,0,0.0,,,,
2022-05-25,Tourney_6,ATP,Grass,SF,atp player 14,atp player 5,ATP_Player_14,ATP_Player_5,1.0,1.503,3.641,,1533.948050480474,1534.8182742187867,-0.8702237383126885,1512.0,1512.414300586377,-0.4143005863770668,,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,,,,
2022-05-28,Tourney_4,WTA,Hard,R32,wta player 10,wta player 12,WTA_Player_12,WTA_Player_10,0.0,3.801,1.477,,1488.0,1500.0,-12.0,1500.0,1500.0,0.0,,-0.5,0.0,-0.5,0.0,1,0,0.0,0,0.0,,,,
2022-05-31,Tourney_2,WTA,Grass,R32,wta player 10,wta player 2,WTA_Player_2,WTA_Player_10,0.0,1.852,2.5,,1476.414300586377,1466.4226037467279,9.991696839649194,1488.0,1488.414300586377,-0.4143005863770668,,0.0,0.0,0.0,0.0,-1,0,0.0,0,0.0,,,,
2022-06-03,Tourney_8,WTA,Grass,R16,wta player 11,wta player 5,WTA_Player_5,WTA_Player_11,0.0,2.096,2.16,,1534.772327276234,1486.772343665989,47.99998361024495,1523.585699413623,1499.585699413623,24.0,,0.6666666666666667,0.5,0.6666666666666667,0.5,0,0,0.0,0,0.0,,,,
2022-06-06,Tourney_4,ATP,Hard,R16,atp player 11,atp player 15,ATP_Player_11,ATP_Player_15,1.0,3.316,1.566,,1501.6333341301292,1500.827614673444,0.8057194566852104,1488.0,1500.0,-12.0,,0.0,-0.5,0.0,-0.5,0,0,0.0,1,0.0,,,,
