match_date,tournament,tour,surface,indoor,round,player_1,player_2,rank_p1,rank_p2,p1_win,winner_name,loser_name,set_scores,odds_p1,odds_p2,p1_serve_points_won_pct,p2_serve_points_won_pct,p1_return_points_won_pct,p2_return_points_won_pct,p1_hold_pct,p2_hold_pct,p1_break_pct,p2_break_pct,tournament_tier,total_games,game_margin
2022-01-01,Tourney_4,WTA,Grass,0,R32,WTA_Player_8,WTA_Player_5,101,80,0,WTA_Player_5,WTA_Player_8,6-4 3-6 6-3,2.522,1.84,0.598,0.592,0.398,0.342,0.767,0.705,0.31,0.152,1,22.3,6.4
2022-01-04,Tourney_7,WTA,Hard,0,QF,WTA_Player_13,WTA_Player_16,90,47,0,WTA_Player_16,WTA_Player_13,6-4 3-6 6-3,3.091,1.622,0.634,0.605,0.322,0.401,0.693,0.706,0.272,0.146,3,24.6,-2.8
2022-01-07,Tourney_8,ATP,Clay,0,SF,ATP_Player_20,ATP_Player_6,28,55,1,ATP_Player_20,ATP_Player_6,6-4 3-6 6-3,1.773,2.659,0.612,0.685,0.347,0.354,0.849,0.808,0.304,0.168,4,23.2,2.7
2022-01-10,Tourney_8,WTA,Clay,0,R16,WTA_Player_13,WTA_Player_16,35,80,0,WTA_Player_16,WTA_Player_13,6-4 3-6 6-3,1.605,3.153,0.623,0.69,0.351,0.384,0.753,0.724,0.346,0.301,2,29.2,6.4
2022-01-13,Tourney_5,WTA,Clay,0,QF,WTA_Player_11,WTA_Player_20,32,51,1,WTA_Player_11,WTA_Player_20,6-4 3-6 6-3,1.864,2.478,0.598,0.585,0.345,0.344,0.799,0.807,0.145,0.121,1,16.2,0.2
2022-01-16,Tourney_6,ATP,Hard,0,F,ATP_Player_14,ATP_Player_11,50,59,1,ATP_Player_14,ATP_Player_11,6-4 3-6 6-3,1.993,2.281,0.696,0.686,0.339,0.32,0.73,0.77,0.239,0.311,2,22.5,2.4
2022-01-19,Tourney_6,ATP,Clay,0,SF,ATP_Player_10,ATP_Player_15,21,14,1,ATP_Player_10,ATP_Player_15,6-4 3-6 6-3,2.245,2.022,0.657,0.647,0.327,0.408,0.873,0.853,0.265,0.286,2,22.8,-8.1
2022-01-22,Tourney_6,WTA,Grass,0,SF,WTA_Player_19,WTA_Player_11,110,54,0,WTA_Player_11,WTA_Player_19,6-4 3-6 6-3,3.528,1.523,0.598,0.641,0.436,0.406,0.822,0.888,0.132,0.285,3,26.9,-5.5
2022-01-25,Tourney_4,WTA,Grass,0,QF,WTA_Player_4,WTA_Player_15,38,10,1,WTA_Player_4,WTA_Player_15,6-4 3-6 6-3,2.683,1.763,0.673,0.581,0.347,0.321,0.773,0.7,0.226,0.126,2,16.2,-1.5
2022-01-28,Tourney_6,WTA,Grass,0,R32,WTA_Player_2,WTA_Player_4,114,79,0,WTA_Player_4,WTA_Player_2,6-4 3-6 6-3,2.862,1.693,0.648,0.619,0.367,0.42,0.715,0.861,0.174,0.219,4,25.7,3.4
2022-01-31,Tourney_5,WTA,Hard,1,R16,WTA_Player_7,WTA_Player_4,73,78,1,WTA_Player_7,WTA_Player_4,6-4 3-6 6-3,2.051,2.211,0.603,0.6,0.407,0.361,0.701,0.711,0.343,0.324,2,22.1,3.5
2022-02-03,Tourney_2,WTA,Clay,0,R32,WTA_Player_15,WTA_Player_5,16,87,1,WTA_Player_15,WTA_Player_5,6-4 3-6 6-3,1.431,4.15,0.696,0.68,0.36,0.447,0.821,0.747,0.146,0.218,2,13.7,5.2
2022-02-06,Tourney_8,ATP,Clay,0,R16,ATP_Player_20,ATP_Player_2,56,3,0,ATP_Player_2,ATP_Player_20,6-4 3-6 6-3,3.42,1.544,0.595,0.672,0.391,0.369,0.856,0.756,0.214,0.203,4,26.7,-0.4
2022-02-09,Tourney_4,ATP,Hard,0,F,ATP_Player_19,ATP_Player_13,111,48,1,ATP_Player_19,ATP_Player_13,6-4 3-6 6-3,3.801,1.477,0.622,0.714,0.414,0.365,0.875,0.686,0.24,0.179,3,30.1,-0.1
2022-02-12,Tourney_2,WTA,Grass,1,SF,WTA_Player_10,WTA_Player_6,91,70,0,WTA_Player_6,WTA_Player_10,6-4 3-6 6-3,2.522,1.84,0.595,0.705,0.411,0.368,0.704,0.695,0.255,0.162,1,17.5,-3.9
2022-02-15,Tourney_5,ATP,Clay,0,SF,ATP_Player_3,ATP_Player_19,118,78,0,ATP_Player_19,ATP_Player_3,6-4 3-6 6-3,3.002,1.648,0.62,0.668,0.426,0.439,0.818,0.865,0.289,0.303,1,29.6,1.1
2022-02-18,Tourney_8,WTA,Clay,1,F,WTA_Player_20,WTA_Player_17,36,113,1,WTA_Player_20,WTA_Player_17,6-4 3-6 6-3,1.399,4.44,0.65,0.599,0.426,0.391,0.834,0.77,0.297,0.208,3,22.0,6.1
2022-02-21,Tourney_1,ATP,Grass,1,R32,ATP_Player_1,ATP_Player_19,7,43,1,ATP_Player_1,ATP_Player_19,6-4 3-6 6-3,1.684,2.889,0.662,0.643,0.415,0.406,0.855,0.78,0.215,0.237,3,20.1,-2.0
2022-02-24,Tourney_5,ATP,Hard,0,SF,ATP_Player_16,ATP_Player_2,116,109,0,ATP_Player_2,ATP_Player_16,6-4 3-6 6-3,2.245,2.022,0.591,0.583,0.361,0.432,0.683,0.709,0.299,0.278,2,24.7,-1.3
2022-02-27,Tourney_7,ATP,Hard,0,F,ATP_Player_3,ATP_Player_20,119,95,0,ATP_Player_20,ATP_Player_3,6-4 3-6 6-3,2.589,1.806,0.62,0.672,0.434,0.376,0.826,0.766,0.145,0.256,4,22.8,-3.0
2022-03-02,Tourney_2,WTA,Grass,1,R32,WTA_Player_3,WTA_Player_11,24,12,0,WTA_Player_11,WTA_Player_3,6-4 3-6 6-3,2.337,1.952,0.69,0.672,0.444,0.321,0.74,0.792,0.338,0.148,4,24.9,-9.6
