match_date,tour,tournament,surface,round,winner_name,loser_name
2022-01-01,WTA,Tourney_4,Grass,R32,WTA_Player_5,WTA_Player_8
2022-01-04,WTA,Tourney_7,Hard,QF,WTA_Player_16,WTA_Player_13
2022-01-07,ATP,Tourney_8,Clay,SF,ATP_Player_20,ATP_Player_6
2022-01-10,WTA,Tourney_8,Clay,R16,WTA_Player_16,WTA_Player_13
2022-01-13,WTA,Tourney_5,Clay,QF,WTA_Player_11,WTA_Player_20
2022-01-16,ATP,Tourney_6,Hard,F,ATP_Player_14,ATP_Player_11
2022-01-19,ATP,Tourney_6,Clay,SF,ATP_Player_10,ATP_Player_15
2022-01-22,WTA,Tourney_6,Grass,SF,WTA_Player_11,WTA_Player_19
2022-01-25,WTA,Tourney_4,Grass,QF,WTA_Player_4,WTA_Player_15
2022-01-28,WTA,Tourney_6,Grass,R32,WTA_Player_4,WTA_Player_2
2022-01-31,WTA,Tourney_5,Hard,R16,WTA_Player_7,WTA_Player_4
2022-02-03,WTA,Tourney_2,Clay,R32,WTA_Player_15,WTA_Player_5
2022-02-06,ATP,Tourney_8,Clay,R16,ATP_Player_2,ATP_Player_20
2022-02-09,ATP,Tourney_4,Hard,F,ATP_Player_19,ATP_Player_13
2022-02-12,WTA,Tourney_2,Grass,SF,WTA_Player_6,WTA_Player_10
2022-02-15,ATP,Tourney_5,Clay,SF,ATP_Player_19,ATP_Player_3
2022-02-18,WTA,Tourney_8,Clay,F,WTA_Player_20,WTA_Player_17
2022-02-21,ATP,Tourney_1,Grass,R32,ATP_Player_1,ATP_Player_19
2022-02-24,ATP,Tourney_5,Hard,SF,ATP_Player_2,ATP_Player_16
2022-02-27,ATP,Tourney_7,Hard,F,ATP_Player_20,ATP_Player_3
2022-03-02,WTA,Tourney_2,Grass,R32,WTA_Player_11,WTA_Player_3
2022-03-05,WTA,Tourney_5,Clay,SF,WTA_Player_15,WTA_Player_16
2022-03-08,WTA,Tourney_5,Clay,R32,WTA_Player_7,WTA_Player_18
2022-03-11,WTA,Tourney_6,Grass,R32,WTA_Player_15,WTA_Player_8
2022-03-14,ATP,Tourney_6,Hard,R16,ATP_Player_16,ATP_Player_4
2022-03-17,ATP,Tourney_5,Grass,F,ATP_Player_7,ATP_Player_8
2022-03-20,ATP,Tourney_3,Clay,SF,ATP_Player_19,ATP_Player_18
2022-03-23,ATP,Tourney_2,Hard,R16,ATP_Player_14,ATP_Player_13
2022-03-26,WTA,Tourney_5,Clay,R16,WTA_Player_7,WTA_Player_2
2022-03-29,WTA,Tourney_1,Hard,F,WTA_Player_4,WTA_Player_3
2022-04-01,ATP,Tourney_8,Hard,R16,ATP_Player_16,ATP_Player_6
2022-04-04,WTA,Tourney_5,Clay,R16,WTA_Player_16,WTA_Player_18
2022-04-07,ATP,Tourney_4,Hard,QF,ATP_Player_12,ATP_Player_18
2022-04-10,ATP,Tourney_1,Grass,SF,ATP_Player_14,ATP_Player_4
2022-04-13,ATP,Tourney_2,Clay,SF,ATP_Player_2,ATP_Player_16
2022-04-16,ATP,Tourney_8,Hard,F,ATP_Player_5,ATP_Player_12
2022-04-19,ATP,Tourney_1,Clay,R16,ATP_Player_11,ATP_Player_2
2022-04-22,ATP,Tourney_2,Grass,SF,ATP_Player_8,ATP_Player_3
2022-04-25,ATP,Tourney_5,Clay,R32,ATP_Player_15,ATP_Player_7
2022-04-28,ATP,Tourney_5,Clay,R32,ATP_Player_5,ATP_Player_13
2022-05-01,WTA,Tourney_5,Grass,SF,WTA_Player_17,WTA_Player_5
2022-05-04,ATP,Tourney_1,Hard,R16,ATP_Player_19,ATP_Player_13
2022-05-07,ATP,Tourney_2,Hard,SF,ATP_Player_17,ATP_Player_7
2022-05-10,WTA,Tourney_5,Hard,F,WTA_Player_1,WTA_Player_2
2022-05-13,WTA,Tourney_8,Clay,SF,WTA_Player_8,WTA_Player_4
2022-05-16,ATP,Tourney_4,Hard,F,ATP_Player_9,ATP_Player_20
2022-05-19,ATP,Tourney_8,Grass,F,ATP_Player_5,ATP_Player_1
2022-05-22,WTA,Tourney_6,Clay,SF,WTA_Player_16,WTA_Player_8
2022-05-25,ATP,Tourney_6,Grass,SF,ATP_Player_14,ATP_Player_5
2022-05-28,WTA,Tourney_4,Hard,R32,WTA_Player_12,WTA_Player_10
2022-05-31,WTA,Tourney_2,Grass,R32,WTA_Player_2,WTA_Player_10
2022-06-03,WTA,Tourney_8,Grass,R16,WTA_Player_5,WTA_Player_11
2022-06-06,ATP,Tourney_4,Hard,R16,ATP_Player_11,ATP_Player_15
2022-06-09,WTA,Tourney_1,Clay,QF,WTA_Player_12,WTA_Player_17
2022-06-12,ATP,Tourney_5,Hard,R32,ATP_Player_10,ATP_Player_6
2022-06-15,ATP,Tourney_3,Clay,QF,ATP_Player_6,ATP_Player_12
2022-06-18,ATP,Tourney_5,Grass,R32,ATP_Player_7,ATP_Player_9
2022-06-21,ATP,Tourney_6,Grass,F,ATP_Player_19,ATP_Player_17
2022-06-24,ATP,Tourney_6,Grass,R16,ATP_Player_11,ATP_Player_2
2022-06-27,WTA,Tourney_8,Hard,R32,WTA_Player_11,WTA_Player_13
2022-06-30,ATP,Tourney_7,Grass,QF,ATP_Player_8,ATP_Player_13
2022-07-03,ATP,Tourney_1,Hard,SF,ATP_Player_20,ATP_Player_14
2022-07-06,ATP,Tourney_6,Hard,QF,ATP_Player_17,ATP_Player_14
2022-07-09,ATP,Tourney_1,Hard,R16,ATP_Player_9,ATP_Player_12
2022-07-12,ATP,Tourney_4,Grass,F,ATP_Player_10,ATP_Player_6
2022-07-15,ATP,Tourney_8,Hard,R16,ATP_Player_8,ATP_Player_17
2022-07-18,ATP,Tourney_7,Hard,QF,ATP_Player_4,ATP_Player_18
2022-07-21,WTA,Tourney_5,Clay,SF,WTA_Player_11,WTA_Player_6
2022-07-24,ATP,Tourney_6,Clay,R16,ATP_Player_1,ATP_Player_19
2022-07-27,ATP,Tourney_7,Grass,F,ATP_Player_2,ATP_Player_17
2022-07-30,ATP,Tourney_1,Hard,SF,ATP_Player_15,ATP_Player_16
2022-08-02,WTA,Tourney_4,Hard,R32,WTA_Player_7,WTA_Player_4
2022-08-05,ATP,Tourney_1,Grass,R32,ATP_Player_17,ATP_Player_11
2022-08-08,ATP,Tourney_6,Clay,F,ATP_Player_19,ATP_Player_9
2022-08-11,ATP,Tourney_8,Clay,QF,ATP_Player_3,ATP_Player_12
2022-08-14,WTA,Tourney_3,Clay,SF,WTA_Player_10,WTA_Player_15
2022-08-17,ATP,Tourney_8,Clay,R32,ATP_Player_12,ATP_Player_11
2022-08-20,ATP,Tourney_5,Grass,F,ATP_Player_2,ATP_Player_1
2022-08-23,ATP,Tourney_4,Clay,R16,ATP_Player_19,ATP_Player_15
2022-08-26,ATP,Tourney_8,Clay,SF,ATP_Player_15,ATP_Player_1
2022-08-29,ATP,Tourney_6,Hard,F,ATP_Player_8,ATP_Player_10
2022-09-01,WTA,Tourney_7,Grass,R32,WTA_Player_4,WTA_Player_6
2022-09-04,WTA,Tourney_3,Hard,R16,WTA_Player_7,WTA_Player_5
2022-09-07,WTA,Tourney_6,Hard,SF,WTA_Player_11,WTA_Player_18
2022-09-10,WTA,Tourney_8,Grass,QF,WTA_Player_3,WTA_Player_5
2022-09-13,ATP,Tourney_6,Grass,R16,ATP_Player_1,ATP_Player_17
2022-09-16,ATP,Tourney_7,Clay,QF,ATP_Player_3,ATP_Player_20
2022-09-19,WTA,Tourney_8,Hard,QF,WTA_Player_7,WTA_Player_15
2022-09-22,ATP,Tourney_5,Hard,R32,ATP_Player_19,ATP_Player_7
2022-09-25,WTA,Tourney_3,Hard,SF,WTA_Player_5,WTA_Player_6
2022-09-28,ATP,Tourney_8,Grass,R32,ATP_Player_13,ATP_Player_17
2022-10-01,ATP,Tourney_1,Hard,R32,ATP_Player_1,ATP_Player_16
2022-10-04,WTA,Tourney_2,Clay,QF,WTA_Player_9,WTA_Player_6
2022-10-07,ATP,Tourney_6,Grass,SF,ATP_Player_10,ATP_Player_8
2022-10-10,ATP,Tourney_4,Grass,SF,ATP_Player_10,ATP_Player_2
2022-10-13,ATP,Tourney_3,Clay,F,ATP_Player_3,ATP_Player_8
2022-10-16,ATP,Tourney_6,Hard,QF,ATP_Player_19,ATP_Player_14
2022-10-19,WTA,Tourney_8,Hard,R16,WTA_Player_7,WTA_Player_6
2022-10-22,ATP,Tourney_8,Clay,R16,ATP_Player_16,ATP_Player_6
2022-10-25,WTA,Tourney_2,Hard,QF,WTA_Player_20,WTA_Player_6
2022-10-28,ATP,Tourney_7,Hard,F,ATP_Player_9,ATP_Player_10
2022-10-31,WTA,Tourney_8,Grass,SF,WTA_Player_18,WTA_Player_6
2022-11-03,WTA,Tourney_4,Grass,QF,WTA_Player_8,WTA_Player_14
2022-11-06,WTA,Tourney_1,Grass,R16,WTA_Player_20,WTA_Player_7
2022-11-09,ATP,Tourney_7,Grass,SF,ATP_Player_17,ATP_Player_5
2022-11-12,WTA,Tourney_7,Grass,F,WTA_Player_7,WTA_Player_15
2022-11-15,ATP,Tourney_5,Clay,F,ATP_Player_1,ATP_Player_17
2022-11-18,ATP,Tourney_7,Grass,R32,ATP_Player_4,ATP_Player_6
2022-11-21,WTA,Tourney_2,Clay,QF,WTA_Player_6,WTA_Player_11
2022-11-24,WTA,Tourney_8,Hard,SF,WTA_Player_2,WTA_Player_1
2022-11-27,ATP,Tourney_1,Hard,R16,ATP_Player_11,ATP_Player_5
2022-11-30,WTA,Tourney_2,Grass,R32,WTA_Player_4,WTA_Player_20
2022-12-03,ATP,Tourney_8,Grass,R32,ATP_Player_4,ATP_Player_12
2022-12-06,ATP,Tourney_5,Clay,QF,ATP_Player_11,ATP_Player_16
2022-12-09,ATP,Tourney_3,Hard,QF,ATP_Player_12,ATP_Player_15
2022-12-12,ATP,Tourney_6,Hard,QF,ATP_Player_6,ATP_Player_16
2022-12-15,WTA,Tourney_5,Hard,R16,WTA_Player_5,WTA_Player_7
2022-12-18,WTA,Tourney_8,Grass,F,WTA_Player_5,WTA_Player_13
2022-12-21,WTA,Tourney_5,Grass,R16,WTA_Player_3,WTA_Player_11
2022-12-24,WTA,Tourney_5,Hard,F,WTA_Player_1,WTA_Player_9
2022-12-27,ATP,Tourney_3,Hard,R16,ATP_Player_13,ATP_Player_9
2022-12-30,ATP,Tourney_3,Hard,R32,ATP_Player_7,ATP_Player_4
2023-01-02,ATP,Tourney_6,Grass,SF,ATP_Player_9,ATP_Player_14
2023-01-05,ATP,Tourney_6,Clay,R32,ATP_Player_8,ATP_Player_10
2023-01-08,WTA,Tourney_7,Grass,R16,WTA_Player_4,WTA_Player_17
2023-01-11,ATP,Tourney_7,Clay,SF,ATP_Player_11,ATP_Player_5
2023-01-14,ATP,Tourney_5,Grass,R16,ATP_Player_8,ATP_Player_10
2023-01-17,ATP,Tourney_8,Grass,SF,ATP_Player_10,ATP_Player_12
2023-01-20,WTA,Tourney_8,Grass,R16,WTA_Player_16,WTA_Player_14
2023-01-23,ATP,Tourney_6,Grass,R32,ATP_Player_4,ATP_Player_6
2023-01-26,ATP,Tourney_8,Hard,QF,ATP_Player_12,ATP_Player_8
2023-01-29,ATP,Tourney_5,Hard,R32,ATP_Player_11,ATP_Player_4
2023-02-01,ATP,Tourney_4,Grass,R16,ATP_Player_8,ATP_Player_14
2023-02-04,WTA,Tourney_7,Clay,QF,WTA_Player_7,WTA_Player_17
2023-02-07,WTA,Tourney_7,Clay,SF,WTA_Player_10,WTA_Player_14
2023-02-10,WTA,Tourney_5,Grass,SF,WTA_Player_6,WTA_Player_18
