match_date,tour,tournament,player_1,player_2,odds_p1,odds_p2
2022-01-01,WTA,Tourney_4,WTA_Player_8,WTA_Player_5,2.522,1.84
2022-01-04,WTA,Tourney_7,WTA_Player_13,WTA_Player_16,3.091,1.622
2022-01-07,ATP,Tourney_8,ATP_Player_20,ATP_Player_6,1.773,2.659
2022-01-10,WTA,Tourney_8,WTA_Player_13,WTA_Player_16,1.605,3.153
2022-01-13,WTA,Tourney_5,WTA_Player_11,WTA_Player_20,1.864,2.478
2022-01-16,ATP,Tourney_6,ATP_Player_14,ATP_Player_11,1.993,2.281
2022-01-19,ATP,Tourney_6,ATP_Player_10,ATP_Player_15,2.245,2.022
2022-01-22,WTA,Tourney_6,WTA_Player_19,WTA_Player_11,3.528,1.523
2022-01-25,WTA,Tourney_4,WTA_Player_4,WTA_Player_15,2.683,1.763
2022-01-28,WTA,Tourney_6,WTA_Player_2,WTA_Player_4,2.862,1.693
2022-01-31,WTA,Tourney_5,WTA_Player_7,WTA_Player_4,2.051,2.211
2022-02-03,WTA,Tourney_2,WTA_Player_15,WTA_Player_5,1.431,4.15
2022-02-06,ATP,Tourney_8,ATP_Player_20,ATP_Player_2,3.42,1.544
2022-02-09,ATP,Tourney_4,ATP_Player_19,ATP_Player_13,3.801,1.477
2022-02-12,WTA,Tourney_2,WTA_Player_10,WTA_Player_6,2.522,1.84
2022-02-15,ATP,Tourney_5,ATP_Player_3,ATP_Player_19,3.002,1.648
2022-02-18,WTA,Tourney_8,WTA_Player_20,WTA_Player_17,1.399,4.44
2022-02-21,ATP,Tourney_1,ATP_Player_1,ATP_Player_19,1.684,2.889
2022-02-24,ATP,Tourney_5,ATP_Player_16,ATP_Player_2,2.245,2.022
2022-02-27,ATP,Tourney_7,ATP_Player_3,ATP_Player_20,2.589,1.806
2022-03-02,WTA,Tourney_2,WTA_Player_3,WTA_Player_11,2.337,1.952
2022-03-05,WTA,Tourney_5,WTA_Player_15,WTA_Player_16,1.622,3.091
2022-03-08,WTA,Tourney_5,WTA_Player_7,WTA_Player_18,1.84,2.522
2022-03-11,WTA,Tourney_6,WTA_Player_15,WTA_Player_8,3.282,1.574
2022-03-14,ATP,Tourney_6,ATP_Player_16,ATP_Player_4,4.15,1.431
2022-03-17,ATP,Tourney_5,ATP_Player_8,ATP_Player_7,2.357,1.939
2022-03-20,ATP,Tourney_3,ATP_Player_18,ATP_Player_19,2.917,1.675
2022-03-23,ATP,Tourney_2,ATP_Player_14,ATP_Player_13,1.901,2.416
2022-03-26,WTA,Tourney_5,WTA_Player_7,WTA_Player_2,1.537,3.455
2022-03-29,WTA,Tourney_1,WTA_Player_4,WTA_Player_3,1.559,3.35
2022-04-01,ATP,Tourney_8,ATP_Player_6,ATP_Player_16,2.437,1.888
2022-04-04,WTA,Tourney_5,WTA_Player_16,WTA_Player_18,2.659,1.773
2022-04-07,ATP,Tourney_4,ATP_Player_18,ATP_Player_12,1.888,2.437
2022-04-10,ATP,Tourney_1,ATP_Player_14,ATP_Player_4,2.263,2.007
2022-04-13,ATP,Tourney_2,ATP_Player_2,ATP_Player_16,1.648,3.002
2022-04-16,ATP,Tourney_8,ATP_Player_12,ATP_Player_5,4.39,1.404
2022-04-19,ATP,Tourney_1,ATP_Player_2,ATP_Player_11,1.817,2.566
2022-04-22,ATP,Tourney_2,ATP_Player_8,ATP_Player_3,1.597,3.185
2022-04-25,ATP,Tourney_5,ATP_Player_15,ATP_Player_7,1.516,3.565
2022-04-28,ATP,Tourney_5,ATP_Player_13,ATP_Player_5,1.484,3.76
2022-05-01,WTA,Tourney_5,WTA_Player_17,WTA_Player_5,1.684,2.889
2022-05-04,ATP,Tourney_1,ATP_Player_19,ATP_Player_13,1.952,2.337
2022-05-07,ATP,Tourney_2,ATP_Player_7,ATP_Player_17,2.757,1.732
2022-05-10,WTA,Tourney_5,WTA_Player_1,WTA_Player_2,1.993,2.281
2022-05-13,WTA,Tourney_8,WTA_Player_4,WTA_Player_8,2.612,1.795
2022-05-16,ATP,Tourney_4,ATP_Player_9,ATP_Player_20,4.758,1.37
2022-05-19,ATP,Tourney_8,ATP_Player_1,ATP_Player_5,2.022,2.245
2022-05-22,WTA,Tourney_6,WTA_Player_16,WTA_Player_8,1.404,4.39
2022-05-25,ATP,Tourney_6,ATP_Player_14,ATP_Player_5,1.503,3.641
2022-05-28,WTA,Tourney_4,WTA_Player_12,WTA_Player_10,1.477,3.801
2022-05-31,WTA,Tourney_2,WTA_Player_2,WTA_Player_10,2.5,1.852
2022-06-03,WTA,Tourney_8,WTA_Player_5,WTA_Player_11,2.16,2.096
2022-06-06,ATP,Tourney_4,ATP_Player_15,ATP_Player_11,1.566,3.316
2022-06-09,WTA,Tourney_1,WTA_Player_17,WTA_Player_12,2.112,2.144
2022-06-12,ATP,Tourney_5,ATP_Player_6,ATP_Player_10,3.217,1.589
2022-06-15,ATP,Tourney_3,ATP_Player_6,ATP_Player_12,1.693,2.862
2022-06-18,ATP,Tourney_5,ATP_Player_9,ATP_Player_7,2.707,1.752
2022-06-21,ATP,Tourney_6,ATP_Player_17,ATP_Player_19,1.614,3.122
2022-06-24,ATP,Tourney_6,ATP_Player_2,ATP_Player_11,3.72,1.49
2022-06-27,WTA,Tourney_8,WTA_Player_11,WTA_Player_13,1.582,3.249
2022-06-30,ATP,Tourney_7,ATP_Player_13,ATP_Player_8,1.829,2.544
