match_date,tour,tournament,player_1,player_2,odds_p1,odds_p2
2026-04-14,ATP,Tourney_8,ATP_Player_20,ATP_Player_6,1.453,3.97
2026-04-15,ATP,Tourney_3,ATP_Player_13,ATP_Player_12,1.703,2.835
2026-04-16,ATP,Tourney_8,ATP_Player_3,ATP_Player_2,2.478,1.864
2026-04-17,ATP,Tourney_3,ATP_Player_19,ATP_Player_4,2.319,1.966
2026-04-18,ATP,Tourney_6,ATP_Player_3,ATP_Player_11,1.864,2.478
2026-04-19,WTA,Tourney_4,WTA_Player_4,WTA_Player_12,2.522,1.84
2026-04-20,ATP,Tourney_1,ATP_Player_12,ATP_Player_4,1.732,2.757
2026-04-21,WTA,Tourney_4,WTA_Player_6,WTA_Player_10,2.566,1.817
2026-04-22,WTA,Tourney_8,WTA_Player_14,WTA_Player_1,2.544,1.829
2026-04-23,WTA,Tourney_6,WTA_Player_5,WTA_Player_7,2.051,2.211
2026-04-24,WTA,Tourney_2,WTA_Player_11,WTA_Player_1,1.53,3.491
2026-04-25,ATP,Tourney_1,ATP_Player_17,ATP_Player_19,2.319,1.966
2026-04-26,WTA,Tourney_6,WTA_Player_6,WTA_Player_8,2.478,1.864
2026-04-27,ATP,Tourney_2,ATP_Player_19,ATP_Player_3,1.278,6.359
2026-04-28,WTA,Tourney_4,WTA_Player_7,WTA_Player_19,2.5,1.852
2026-04-29,WTA,Tourney_3,WTA_Player_10,WTA_Player_5,3.528,1.523
2026-04-30,ATP,Tourney_8,ATP_Player_11,ATP_Player_17,1.436,4.104
2026-05-01,ATP,Tourney_4,ATP_Player_18,ATP_Player_8,1.431,4.15
2026-05-02,WTA,Tourney_1,WTA_Player_6,WTA_Player_4,1.939,2.357
2026-05-03,WTA,Tourney_7,WTA_Player_2,WTA_Player_7,4.649,1.379
2026-05-04,WTA,Tourney_1,WTA_Player_8,WTA_Player_20,1.375,4.703
2026-05-05,WTA,Tourney_4,WTA_Player_2,WTA_Player_19,4.104,1.436
2026-05-06,WTA,Tourney_7,WTA_Player_10,WTA_Player_9,2.396,1.913
2026-05-07,ATP,Tourney_5,ATP_Player_12,ATP_Player_2,2.128,2.128
2026-05-08,ATP,Tourney_8,ATP_Player_14,ATP_Player_11,1.852,2.5
